Index	Vgate	Vsource	Vdrain	Idrain	IdrainPerWg
1	 0 V	 0 V	 0 V	 34.3460 nA	 3.434600000 nA/um
2	 0 V	 0 V	 50.0 mV	 57.2840 nA	 5.728400000 nA/um
3	 0 V	 0 V	 100.0 mV	 62.7190 nA	 6.271900000 nA/um
4	 0 V	 0 V	 150.0 mV	 64.0740 nA	 6.407400000 nA/um
5	 0 V	 0 V	 200.0 mV	 67.1820 nA	 6.718200000 nA/um
6	 0 V	 0 V	 250.0 mV	 68.1390 nA	 6.813900000 nA/um
7	 0 V	 0 V	 300.0 mV	 69.4730 nA	 6.947300000 nA/um
8	 0 V	 0 V	 350.0 mV	 72.7180 nA	 7.271800000 nA/um
9	 0 V	 0 V	 400.0 mV	 70.4410 nA	 7.044100000 nA/um
10	 0 V	 0 V	 450.0 mV	 75.9050 nA	 7.590500000 nA/um
11	 0 V	 0 V	 500.0 mV	 73.4740 nA	 7.347400000 nA/um
12	 0 V	 0 V	 550.0 mV	 76.4490 nA	 7.644900000 nA/um
13	 0 V	 0 V	 600.0 mV	 77.2390 nA	 7.723900000 nA/um
14	 0 V	 0 V	 650.0 mV	 78.3370 nA	 7.833700000 nA/um
15	 0 V	 0 V	 700.0 mV	 79.6010 nA	 7.960100000 nA/um
16	 0 V	 0 V	 750.0 mV	 79.7440 nA	 7.974400000 nA/um
17	 0 V	 0 V	 800.0 mV	 82.7290 nA	 8.272900000 nA/um
18	 0 V	 0 V	 850.0 mV	 84.4160 nA	 8.441600000 nA/um
19	 0 V	 0 V	 900.0 mV	 85.0660 nA	 8.506600000 nA/um
20	 0 V	 0 V	 950.0 mV	 89.1990 nA	 8.919900000 nA/um
21	 0 V	 0 V	 1.0000 V	 89.7260 nA	 8.972600000 nA/um
22	 0 V	 0 V	 1.0500 V	 89.9430 nA	 8.994300000 nA/um
23	 0 V	 0 V	 1.1000 V	 88.0800 nA	 8.808000000 nA/um
24	 0 V	 0 V	 1.1500 V	 92.5050 nA	 9.250500000 nA/um
25	 0 V	 0 V	 1.2000 V	 94.3400 nA	 9.434000000 nA/um
26	 0 V	 0 V	 1.2500 V	 94.5350 nA	 9.453500000 nA/um
27	 0 V	 0 V	 1.3000 V	 94.9900 nA	 9.499000000 nA/um
28	 0 V	 0 V	 1.3500 V	 98.9030 nA	 9.890300000 nA/um
29	 0 V	 0 V	 1.4000 V	 101.2700 nA	 10.12700000 nA/um
30	 0 V	 0 V	 1.4500 V	 99.3120 nA	 9.931200000 nA/um
31	 0 V	 0 V	 1.5000 V	 103.0900 nA	 10.30900000 nA/um
32	 0 V	 0 V	 1.5500 V	 104.8160 nA	 10.48160000 nA/um
33	 0 V	 0 V	 1.6000 V	 105.0090 nA	 10.50090000 nA/um
34	 0 V	 0 V	 1.6500 V	 107.7300 nA	 10.77300000 nA/um
35	 0 V	 0 V	 1.7000 V	 108.0710 nA	 10.80710000 nA/um
36	 0 V	 0 V	 1.7500 V	 109.5120 nA	 10.95120000 nA/um
37	 0 V	 0 V	 1.8000 V	 110.5530 nA	 11.05530000 nA/um
38	 0 V	 0 V	 1.8500 V	 112.7020 nA	 11.27020000 nA/um
39	 0 V	 0 V	 1.9000 V	 114.3560 nA	 11.43560000 nA/um
40	 0 V	 0 V	 1.9500 V	 114.7040 nA	 11.47040000 nA/um
41	 0 V	 0 V	 2.0000 V	 114.8420 nA	 11.48420000 nA/um
42	 0 V	 0 V	 2.0500 V	 115.0040 nA	 11.50040000 nA/um
43	 0 V	 0 V	 2.1000 V	 115.0040 nA	 11.50040000 nA/um
44	 0 V	 0 V	 2.1500 V	 115.0050 nA	 11.50050000 nA/um
45	 0 V	 0 V	 2.2000 V	 115.0040 nA	 11.50040000 nA/um
46	 0 V	 0 V	 2.2500 V	 115.0040 nA	 11.50040000 nA/um
47	 0 V	 0 V	 2.3000 V	 115.0030 nA	 11.50030000 nA/um
48	 0 V	 0 V	 2.3500 V	 115.0030 nA	 11.50030000 nA/um
49	 0 V	 0 V	 2.4000 V	 115.0060 nA	 11.50060000 nA/um
50	 0 V	 0 V	 2.4500 V	 115.0040 nA	 11.50040000 nA/um
51	 0 V	 0 V	 2.5000 V	 115.0040 nA	 11.50040000 nA/um
52	 0 V	 0 V	 2.5500 V	 115.0020 nA	 11.50020000 nA/um
53	 0 V	 0 V	 2.6000 V	 115.0040 nA	 11.50040000 nA/um
54	 0 V	 0 V	 2.6500 V	 115.0030 nA	 11.50030000 nA/um
55	 0 V	 0 V	 2.7000 V	 115.0050 nA	 11.50050000 nA/um
56	 0 V	 0 V	 2.7500 V	 115.0030 nA	 11.50030000 nA/um
57	 0 V	 0 V	 2.8000 V	 115.0010 nA	 11.50010000 nA/um
58	 0 V	 0 V	 2.8500 V	 -56.920 nA	 -5.692000000 nA/um
59	 0 V	 0 V	 2.9000 V	 -114.320 nA	 -11.43200000 nA/um
60	 0 V	 0 V	 2.9500 V	 92.920 nA	 9.292000000 nA/um
61	 0 V	 0 V	 3.0000 V	 97.610 nA	 9.761000000 nA/um
62	 0 V	 0 V	 3.0500 V	 97.910 nA	 9.791000000 nA/um
63	 0 V	 0 V	 3.1000 V	 103.500 nA	 10.35000000 nA/um
64	 0 V	 0 V	 3.1500 V	 108.880 nA	 10.88800000 nA/um
65	 0 V	 0 V	 3.2000 V	 112.350 nA	 11.23500000 nA/um
66	 0 V	 0 V	 3.2500 V	 117.430 nA	 11.74300000 nA/um
67	 0 V	 0 V	 3.3000 V	 118.680 nA	 11.86800000 nA/um
68	 0 V	 0 V	 3.3500 V	 127.010 nA	 12.70100000 nA/um
69	 0 V	 0 V	 3.4000 V	 132.640 nA	 13.26400000 nA/um
70	 0 V	 0 V	 3.4500 V	 134.730 nA	 13.47300000 nA/um
71	 0 V	 0 V	 3.5000 V	 142.450 nA	 14.24500000 nA/um
72	 0 V	 0 V	 3.5500 V	 144.270 nA	 14.42700000 nA/um
73	 0 V	 0 V	 3.6000 V	 148.210 nA	 14.82100000 nA/um
74	 0 V	 0 V	 3.6500 V	 157.970 nA	 15.79700000 nA/um
75	 0 V	 0 V	 3.7000 V	 160.780 nA	 16.07800000 nA/um
76	 0 V	 0 V	 3.7500 V	 167.810 nA	 16.78100000 nA/um
77	 0 V	 0 V	 3.8000 V	 173.790 nA	 17.37900000 nA/um
78	 0 V	 0 V	 3.8500 V	 180.890 nA	 18.08900000 nA/um
79	 0 V	 0 V	 3.9000 V	 191.940 nA	 19.19400000 nA/um
80	 0 V	 0 V	 3.9500 V	 196.220 nA	 19.62200000 nA/um
81	 0 V	 0 V	 4.0000 V	 203.990 nA	 20.39900000 nA/um
82	 100.00 mV	 0 V	 0 V	 -5.3460 nA	 -534.6000000 pA/um
83	 100.00 mV	 0 V	 50.0 mV	 1.09460 uA	 109.4600000 nA/um
84	 100.00 mV	 0 V	 100.0 mV	 1.30780 uA	 130.7800000 nA/um
85	 100.00 mV	 0 V	 150.0 mV	 1.37500 uA	 137.5000000 nA/um
86	 100.00 mV	 0 V	 200.0 mV	 1.43450 uA	 143.4500000 nA/um
87	 100.00 mV	 0 V	 250.0 mV	 1.48310 uA	 148.3100000 nA/um
88	 100.00 mV	 0 V	 300.0 mV	 1.52930 uA	 152.9300000 nA/um
89	 100.00 mV	 0 V	 350.0 mV	 1.58450 uA	 158.4500000 nA/um
90	 100.00 mV	 0 V	 400.0 mV	 1.62410 uA	 162.4100000 nA/um
91	 100.00 mV	 0 V	 450.0 mV	 1.67150 uA	 167.1500000 nA/um
92	 100.00 mV	 0 V	 500.0 mV	 1.71110 uA	 171.1100000 nA/um
93	 100.00 mV	 0 V	 550.0 mV	 1.75110 uA	 175.1100000 nA/um
94	 100.00 mV	 0 V	 600.0 mV	 1.79220 uA	 179.2200000 nA/um
95	 100.00 mV	 0 V	 650.0 mV	 1.83180 uA	 183.1800000 nA/um
96	 100.00 mV	 0 V	 700.0 mV	 1.87870 uA	 187.8700000 nA/um
97	 100.00 mV	 0 V	 750.0 mV	 1.91280 uA	 191.2800000 nA/um
98	 100.00 mV	 0 V	 800.0 mV	 1.95000 uA	 195.0000000 nA/um
99	 100.00 mV	 0 V	 850.0 mV	 2.00030 uA	 200.0300000 nA/um
100	 100.00 mV	 0 V	 900.0 mV	 2.03740 uA	 203.7400000 nA/um
101	 100.00 mV	 0 V	 950.0 mV	 2.07430 uA	 207.4300000 nA/um
102	 100.00 mV	 0 V	 1.0000 V	 2.11840 uA	 211.8400000 nA/um
103	 100.00 mV	 0 V	 1.0500 V	 2.15500 uA	 215.5000000 nA/um
104	 100.00 mV	 0 V	 1.1000 V	 2.19020 uA	 219.0200000 nA/um
105	 100.00 mV	 0 V	 1.1500 V	 2.23670 uA	 223.6700000 nA/um
106	 100.00 mV	 0 V	 1.2000 V	 2.27610 uA	 227.6100000 nA/um
107	 100.00 mV	 0 V	 1.2500 V	 2.31160 uA	 231.1600000 nA/um
108	 100.00 mV	 0 V	 1.3000 V	 2.35480 uA	 235.4800000 nA/um
109	 100.00 mV	 0 V	 1.3500 V	 2.38590 uA	 238.5900000 nA/um
110	 100.00 mV	 0 V	 1.4000 V	 2.43650 uA	 243.6500000 nA/um
111	 100.00 mV	 0 V	 1.4500 V	 2.47500 uA	 247.5000000 nA/um
112	 100.00 mV	 0 V	 1.5000 V	 2.52620 uA	 252.6200000 nA/um
113	 100.00 mV	 0 V	 1.5500 V	 2.56470 uA	 256.4700000 nA/um
114	 100.00 mV	 0 V	 1.6000 V	 2.59450 uA	 259.4500000 nA/um
115	 100.00 mV	 0 V	 1.6500 V	 2.64420 uA	 264.4200000 nA/um
116	 100.00 mV	 0 V	 1.7000 V	 2.69000 uA	 269.0000000 nA/um
117	 100.00 mV	 0 V	 1.7500 V	 2.73420 uA	 273.4200000 nA/um
118	 100.00 mV	 0 V	 1.8000 V	 2.77580 uA	 277.5800000 nA/um
119	 100.00 mV	 0 V	 1.8500 V	 2.82460 uA	 282.4600000 nA/um
120	 100.00 mV	 0 V	 1.9000 V	 2.86490 uA	 286.4900000 nA/um
121	 100.00 mV	 0 V	 1.9500 V	 2.89960 uA	 289.9600000 nA/um
122	 100.00 mV	 0 V	 2.0000 V	 2.94760 uA	 294.7600000 nA/um
123	 100.00 mV	 0 V	 2.0500 V	 3.00010 uA	 300.0100000 nA/um
124	 100.00 mV	 0 V	 2.1000 V	 3.04080 uA	 304.0800000 nA/um
125	 100.00 mV	 0 V	 2.1500 V	 3.09430 uA	 309.4300000 nA/um
126	 100.00 mV	 0 V	 2.2000 V	 3.14460 uA	 314.4600000 nA/um
127	 100.00 mV	 0 V	 2.2500 V	 3.19250 uA	 319.2500000 nA/um
128	 100.00 mV	 0 V	 2.3000 V	 3.22610 uA	 322.6100000 nA/um
129	 100.00 mV	 0 V	 2.3500 V	 3.29120 uA	 329.1200000 nA/um
130	 100.00 mV	 0 V	 2.4000 V	 3.33060 uA	 333.0600000 nA/um
131	 100.00 mV	 0 V	 2.4500 V	 3.37770 uA	 337.7700000 nA/um
132	 100.00 mV	 0 V	 2.5000 V	 3.42920 uA	 342.9200000 nA/um
133	 100.00 mV	 0 V	 2.5500 V	 3.48640 uA	 348.6400000 nA/um
134	 100.00 mV	 0 V	 2.6000 V	 3.53490 uA	 353.4900000 nA/um
135	 100.00 mV	 0 V	 2.6500 V	 3.59530 uA	 359.5300000 nA/um
136	 100.00 mV	 0 V	 2.7000 V	 3.64030 uA	 364.0300000 nA/um
137	 100.00 mV	 0 V	 2.7500 V	 3.68910 uA	 368.9100000 nA/um
138	 100.00 mV	 0 V	 2.8000 V	 3.74370 uA	 374.3700000 nA/um
139	 100.00 mV	 0 V	 2.8500 V	 3.82490 uA	 382.4900000 nA/um
140	 100.00 mV	 0 V	 2.9000 V	 3.86860 uA	 386.8600000 nA/um
141	 100.00 mV	 0 V	 2.9500 V	 3.94390 uA	 394.3900000 nA/um
142	 100.00 mV	 0 V	 3.0000 V	 3.99290 uA	 399.2900000 nA/um
143	 100.00 mV	 0 V	 3.0500 V	 4.04950 uA	 404.9500000 nA/um
144	 100.00 mV	 0 V	 3.1000 V	 4.13120 uA	 413.1200000 nA/um
145	 100.00 mV	 0 V	 3.1500 V	 4.19100 uA	 419.1000000 nA/um
146	 100.00 mV	 0 V	 3.2000 V	 4.26040 uA	 426.0400000 nA/um
147	 100.00 mV	 0 V	 3.2500 V	 4.33060 uA	 433.0600000 nA/um
148	 100.00 mV	 0 V	 3.3000 V	 4.40700 uA	 440.7000000 nA/um
149	 100.00 mV	 0 V	 3.3500 V	 4.47710 uA	 447.7100000 nA/um
150	 100.00 mV	 0 V	 3.4000 V	 4.56090 uA	 456.0900000 nA/um
151	 100.00 mV	 0 V	 3.4500 V	 4.64140 uA	 464.1400000 nA/um
152	 100.00 mV	 0 V	 3.5000 V	 4.73110 uA	 473.1100000 nA/um
153	 100.00 mV	 0 V	 3.5500 V	 4.81990 uA	 481.9900000 nA/um
154	 100.00 mV	 0 V	 3.6000 V	 4.91330 uA	 491.3300000 nA/um
155	 100.00 mV	 0 V	 3.6500 V	 5.00710 uA	 500.7100000 nA/um
156	 100.00 mV	 0 V	 3.7000 V	 5.10210 uA	 510.2100000 nA/um
157	 100.00 mV	 0 V	 3.7500 V	 5.21200 uA	 521.2000000 nA/um
158	 100.00 mV	 0 V	 3.8000 V	 5.31500 uA	 531.5000000 nA/um
159	 100.00 mV	 0 V	 3.8500 V	 5.43750 uA	 543.7500000 nA/um
160	 100.00 mV	 0 V	 3.9000 V	 5.56450 uA	 556.4500000 nA/um
161	 100.00 mV	 0 V	 3.9500 V	 5.67000 uA	 567.0000000 nA/um
162	 100.00 mV	 0 V	 4.0000 V	 5.81080 uA	 581.0800000 nA/um
163	 200.00 mV	 0 V	 0 V	 99.7190 nA	 9.971900000 nA/um
164	 200.00 mV	 0 V	 50.0 mV	 39.3600 uA	 3.936000000 uA/um
165	 200.00 mV	 0 V	 100.0 mV	 49.6400 uA	 4.964000000 uA/um
166	 200.00 mV	 0 V	 150.0 mV	 49.9120 uA	 4.991200000 uA/um
167	 200.00 mV	 0 V	 200.0 mV	 51.8610 uA	 5.186100000 uA/um
168	 200.00 mV	 0 V	 250.0 mV	 53.8630 uA	 5.386300000 uA/um
169	 200.00 mV	 0 V	 300.0 mV	 55.5090 uA	 5.550900000 uA/um
170	 200.00 mV	 0 V	 350.0 mV	 57.2350 uA	 5.723500000 uA/um
171	 200.00 mV	 0 V	 400.0 mV	 58.9530 uA	 5.895300000 uA/um
