Index	Vgate	Vsource	Vdrain	Idrain	gm	IdrainPerWg	gmPerWg
1	 0 V	 0 V	 2.0000 V	 108.585 nA	 4.143120000 uS	 10.85850000 nA/um	 414.3120000 nS/um
2	 25.0 mV	 0 V	 2.0000 V	 212.163 nA	 7.672280000 uS	 21.21630000 nA/um	 767.2280000 nS/um
3	 50.0 mV	 0 V	 2.0000 V	 492.199 nA	 19.62294000 uS	 49.21990000 nA/um	 1.962294000 uS/um
4	 75.0 mV	 0 V	 2.0000 V	 1.19331 uA	 48.81922000 uS	 119.3310000 nA/um	 4.881922000 uS/um
5	 100.0 mV	 0 V	 2.0000 V	 2.93316 uA	 121.5974000 uS	 293.3160000 nA/um	 12.15974000 uS/um
6	 125.0 mV	 0 V	 2.0000 V	 7.27318 uA	 300.7828000 uS	 727.3180000 nA/um	 30.07828000 uS/um
7	 150.0 mV	 0 V	 2.0000 V	 17.9723 uA	 732.2184000 uS	 1.797230000 uA/um	 73.22184000 uS/um
8	 175.0 mV	 0 V	 2.0000 V	 43.8841 uA	 1.752634000 mS	 4.388410000 uA/um	 175.2634000 uS/um
9	 200.0 mV	 0 V	 2.0000 V	 105.604 uA	 4.069118000 mS	 10.56040000 uA/um	 406.9118000 uS/um
10	 225.0 mV	 0 V	 2.0000 V	 247.340 uA	 8.987480000 mS	 24.73400000 uA/um	 898.7480000 uS/um
11	 250.0 mV	 0 V	 2.0000 V	 554.978 uA	 18.58000000 mS	 55.49780000 uA/um	 1.858000000 mS/um
12	 275.0 mV	 0 V	 2.0000 V	 1.17634 mA	 35.24344000 mS	 117.6340000 uA/um	 3.524344000 mS/um
13	 300.0 mV	 0 V	 2.0000 V	 2.31715 mA	 60.87260000 mS	 231.7150000 uA/um	 6.087260000 mS/um
14	 325.0 mV	 0 V	 2.0000 V	 4.21997 mA	 95.64100000 mS	 421.9970000 uA/um	 9.564100000 mS/um
15	 350.0 mV	 0 V	 2.0000 V	 7.09920 mA	 137.4754000 mS	 709.9200000 uA/um	 13.74754000 mS/um
16	 375.0 mV	 0 V	 2.0000 V	 11.09374 mA	 185.7680000 mS	 1.109374000 mA/um	 18.57680000 mS/um
17	 400.0 mV	 0 V	 2.0000 V	 16.3876 mA	 227.9732000 mS	 1.638760000 mA/um	 22.79732000 mS/um
18	 425.0 mV	 0 V	 2.0000 V	 22.4924 mA	 267.3180000 mS	 2.249240000 mA/um	 26.73180000 mS/um
19	 450.0 mV	 0 V	 2.0000 V	 29.7535 mA	 307.7680000 mS	 2.975350000 mA/um	 30.77680000 mS/um
20	 475.0 mV	 0 V	 2.0000 V	 37.8808 mA	 339.8720000 mS	 3.788080000 mA/um	 33.98720000 mS/um
21	 500.0 mV	 0 V	 2.0000 V	 46.7471 mA	 366.6560000 mS	 4.674710000 mA/um	 36.66560000 mS/um
22	 525.0 mV	 0 V	 2.0000 V	 56.2136 mA	 388.4340000 mS	 5.621360000 mA/um	 38.84340000 mS/um
23	 550.0 mV	 0 V	 2.0000 V	 66.1688 mA	 405.9820000 mS	 6.616880000 mA/um	 40.59820000 mS/um
24	 575.0 mV	 0 V	 2.0000 V	 76.5127 mA	 419.7600000 mS	 7.651270000 mA/um	 41.97600000 mS/um
25	 600.0 mV	 0 V	 2.0000 V	 87.1568 mA	 430.6220000 mS	 8.715680000 mA/um	 43.06220000 mS/um
26	 625.0 mV	 0 V	 2.0000 V	 98.0438 mA	 257.0120000 mS	 9.804380000 mA/um	 25.70120000 mS/um
27	 650.0 mV	 0 V	 2.0000 V	C 100.0074 mA	 39.17400000 mS	 10.00074000 mA/um	 3.917400000 mS/um
28	 675.0 mV	 0 V	 2.0000 V	C 100.0025 mA	 -96.00000000 uS	 10.00025000 mA/um	 -9.600000000 uS/um
29	 700.0 mV	 0 V	 2.0000 V	C 100.0026 mA	 4.000000000 uS	 10.00026000 mA/um	 400.0000001 nS/um
